Content,Rating,Category Level,Category
\U0001f929\U0001f929,5,1,Positif
\U0001f929\U0001f929,5,1,Positif
\U0001f929\U0001f929,5,1,Positif
\U0001f929\U0001f929,5,1,Positif
Bagus tolong di ganti. Logo jadi burung lagi dong,5,1,Positif
Bad,1,-1,Negatif
Semoga kedepannya lebih bagus dan bermanfaat,3,0,Netral
I hope Threads can be a great conversation app and create a community with positive energy.,5,1,Positif
The incredible,5,1,Positif
"Masih ada bug, dan akhirnya aku uninstall sementara. Smoga aja sudah beres. Thanks",3,0,Netral
"Nothing interesting, the media is too much to welcome the thread. If you can freely post corn like Twitter, maybe it can be counted",1,-1,Negatif
Top,5,1,Positif
Bagus,5,1,Positif
i love herni,1,-1,Negatif
Lencana threads hilang jika di hapus,1,-1,Negatif
Saya ingin memberikan saran untuk membuat thread lite untuk android 4.2+,5,1,Positif
Download ini karna Rose of Blackpink,5,1,Positif
Banyak yg tiba tiba follow trus unfollow kebelet jadi seleb tolong tambahkan fitur auto unfol buat yg unfollow,2,-1,Negatif
Ini si bagus,5,1,Positif
Tambahin vitur dm,5,1,Positif
Ok,5,1,Positif
Suka,5,1,Positif
Website tertutup installation dipersulit,3,0,Netral
Goood,5,1,Positif
aneh,1,-1,Negatif
Ini aplikasi plagiat \U0001f44e pencuri ide orang \U0001f44e,1,-1,Negatif
Gak ada terjemahannya,3,0,Netral
Aplikasi ini akan sy coba dulu.,5,1,Positif
please separate public and following posts.,4,1,Positif
Ok,5,1,Positif
"Saya kira bisa bikin username sendiri, tenyata ngikut username Instagram.",2,-1,Negatif
Bgus,5,1,Positif
Bagus,5,1,Positif
"Sebenarnya, aplikasi ini bagus karena dapat mendampingi Instagram. Namun tak ada fitur Mode Gelap yang umum dijumpai diaplikasi lainnya.",1,-1,Negatif
Mau ngpost malah tekeluar apk aneh,1,-1,Negatif
boooo,1,-1,Negatif
Keren banget jadi lebih seruu untuk tempat bercerita \U0001f642,5,1,Positif
Mntap,5,1,Positif
Anti privasi ini apk,1,-1,Negatif
"aplikasi ini terbaik, lebih hebat dari aplikasi burung biru, terimakasih bapak mark.",5,1,Positif
"kurang begitu berguna sih, karena masih mendompleng instagram",5,1,Positif
"Tombol 'postingkan' tetlalu dekat dgn huruf ujung ketika tulis komentar, sehingga kerap lom selesai komentar sudah terposting karena tak sengaja kepencet tombol 'postingkan'",4,1,Positif
Karena akun punyaku sepi jadi bintang 3,3,0,Netral
bad,1,-1,Negatif
Lebih simpel di banding si tanda X,5,1,Positif
"Bagus bnget, tpi masih banyak kekurangan nya kaya *Tiap ganti liat video, videonya otomatis ngeMUTE sendiri *harus ada fitur markah biar sesuatu yg kita suka tinggal nyari di markah biar gk repot nyari ngeslide di akun yg sudah banyak postingannya *Harus ada fitur simpan ke galeri bagusnya buat video dan gambar juga",4,1,Positif
Fiturnya perlu ditambahkan,5,1,Positif
Biasa aja,1,-1,Negatif
please add feature to download photos.,5,1,Positif
Nyoba duls,5,1,Positif
Wooow,5,1,Positif
Mungkin bisa menambahkan fitur translator bahasa apapun agar kita bisa tau arti dari postingan seseorang juga ada fitur save foto/video juga,3,0,Netral
Buruk,1,-1,Negatif
add hashtag feature and also online view notification,3,0,Netral
Tingkatkan lagi,1,-1,Negatif
rasain lu,1,-1,Negatif
"Sulit scroling, tidak lancar",1,-1,Negatif
Cantik,5,1,Positif
"Untuk saat ini twitter tetap primadona, masih asing di threads \U0001f92d",5,1,Positif
Gak terlalu suka,2,-1,Negatif
Good lahh,5,1,Positif
tidak ada yang menarik sampai dengan saat ini di threads. Masih kalah sama sebelah. Sorry saya uninstall \U0001f60a,2,-1,Negatif
"gak suka bgtt, ini app udah 3x nge-update sendirii.. padahal gak setting update otomatis..",1,-1,Negatif
Good,4,1,Positif
Mantapp.. Setelah seminggu lebih menggunakan threads ini \U0001f60a,5,1,Positif
"udah bagus cuma kurang fitur translate nya, so please adain fitur translate. butuh bangett!",4,1,Positif
APLIKASI GA JELAS KEBANYAKAN LIMIT. FOLLOWERS DAN FOLLOWINGNYA GA LENGKAP VITURNYA. MASIH MENDING MAIN IG AJA....... HASTAG GA ADA.,1,-1,Negatif
Ya not bad,5,1,Positif
nurcA,4,1,Positif
Fantastic,5,1,Positif
Munculkanlah di situs web. Biar bisa di akses layaknya twitter sama facebook . Ini aplikasi pesaing twitter,3,0,Netral
"Sudah cukup bagus, akan lebih baik jika ada fitur terjemahan kedalam bahasa yang dapat di tentukan, dan terdapat seting dark mode dan sebagainya",3,0,Netral
"tolong buatkan threadt yang web, supaya orang yang main pc bisa langsung buka threadt. saya mohon \U0001f603",5,1,Positif
plagiat,1,-1,Negatif
mantap,5,1,Positif
Tambahkan fitur podcast,3,0,Netral
Aplikasi nya sangat bagus dan menarik,5,1,Positif
"Pertama buka threads berasa cuma scroll ke atas ke bawah, udah seminggu jdi lebih nyaman aja sih main thread. Keren siih",4,1,Positif
Mantap banyak GA nya,5,1,Positif
please add feature to save the pict in HD quality,4,1,Positif
Bagus,5,1,Positif
Kasih 4 dulu nanti kalo bikin tajirr melintir baru bintang 5,4,1,Positif
Jelek enggak sesimple twitter,1,-1,Negatif
KENAPA THREADS SAYA GABISA DIPAKAI KOMEN,1,-1,Negatif
berharap bisa ngesave foto yg diposting tanpa harus di screenshot,5,1,Positif
Bagus,5,1,Positif
Sering keluar sendiri,2,-1,Negatif
bolone Elon musk,1,-1,Negatif
tolong knp dm jadi pd ilanggg mau nangis \U0001f62d,3,0,Netral
"Lumayan ok lah saling ter-integrasi, karna baru sptnya belum seramai & penuh Drama spt pny nya Om Elon \U0001f601",5,1,Positif
Gak bisa move on dari twitter,3,0,Netral
I like this,5,1,Positif
bagus,5,1,Positif
Bagus,5,1,Positif
Bagus aja,5,1,Positif
Sudah bagus,5,1,Positif
Bagus,5,1,Positif
Up,1,-1,Negatif
Gw gasadar cy 2018 gw kepencet download akhirnya gw cek di play store gw download langsung gw buka,5,1,Positif
aku download ini hanya untuk liat oshi ku di jkt48 \U0001f601,5,1,Positif
