Content,Score
\U0001f929\U0001f929,5
Bagus tolong di ganti. Logo jadi burung lagi dong,5
Bad,1
Semoga kedepannya lebih bagus dan bermanfaat,3
I hope Threads can be a great conversation app and create a community with positive energy.,5
The incredible,5
"Masih ada bug, dan akhirnya aku uninstall sementara. Smoga aja sudah beres. Thanks",3
"Nothing interesting, the media is too much to welcome the thread. If you can freely post corn like Twitter, maybe it can be counted",1
Top,5
Bagus,5
i love herni,1
Lencana threads hilang jika di hapus,1
Saya ingin memberikan saran untuk membuat thread lite untuk android 4.2+,5
Download ini karna Rose of Blackpink,5
Banyak yg tiba tiba follow trus unfollow kebelet jadi seleb tolong tambahkan fitur auto unfol buat yg unfollow,2
Ini si bagus,5
Tambahin vitur dm,5
Ok,5
Suka,5
Website tertutup installation dipersulit,3
Goood,5
aneh,1
Ini aplikasi plagiat \U0001f44e pencuri ide orang \U0001f44e,1
Gak ada terjemahannya,3
Aplikasi ini akan sy coba dulu.,5
please separate public and following posts.,4
Ok,5
"Saya kira bisa bikin username sendiri, tenyata ngikut username Instagram.",2
Bgus,5
Bagus,5
"Sebenarnya, aplikasi ini bagus karena dapat mendampingi Instagram. Namun tak ada fitur Mode Gelap yang umum dijumpai diaplikasi lainnya.",1
Mau ngpost malah tekeluar apk aneh,1
boooo,1
Keren banget jadi lebih seruu untuk tempat bercerita \U0001f642,5
Mntap,5
Anti privasi ini apk,1
"aplikasi ini terbaik, lebih hebat dari aplikasi burung biru, terimakasih bapak mark.",5
"kurang begitu berguna sih, karena masih mendompleng instagram",5
"Tombol 'postingkan' tetlalu dekat dgn huruf ujung ketika tulis komentar, sehingga kerap lom selesai komentar sudah terposting karena tak sengaja kepencet tombol 'postingkan'",4
Karena akun punyaku sepi jadi bintang 3,3
bad,1
Lebih simpel di banding si tanda X,5
"Bagus bnget, tpi masih banyak kekurangan nya kaya *Tiap ganti liat video, videonya otomatis ngeMUTE sendiri *harus ada fitur markah biar sesuatu yg kita suka tinggal nyari di markah biar gk repot nyari ngeslide di akun yg sudah banyak postingannya *Harus ada fitur simpan ke galeri bagusnya buat video dan gambar juga",4
Fiturnya perlu ditambahkan,5
Biasa aja,1
please add feature to download photos.,5
Nyoba duls,5
Wooow,5
Mungkin bisa menambahkan fitur translator bahasa apapun agar kita bisa tau arti dari postingan seseorang juga ada fitur save foto/video juga,3
Buruk,1
add hashtag feature and also online view notification,3
Tingkatkan lagi,1
rasain lu,1
"Sulit scroling, tidak lancar",1
